State Agency,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019
Alabama,"$1,701,183 ","$1,619,487 ","$1,574,001 ","$1,576,302 ","$1,550,549 ","$1,554,776 ","$1,574,072 ","$1,562,717 "
Alaska,"$93,534 ","$89,043 ","$86,542 ","$86,542 ","$85,129 ","$85,129 ","$85,129 ","$84,515 "
Arizona,"$158,183 ","$150,587 ","$146,358 ","$146,358 ","$143,967 ","$143,967 ","$143,967 ","$142,928 "
Arkansas,"$121,576 ","$115,737 ","$112,486 ","$112,650 ","$110,809 ","$115,036 ","$115,036 ","$114,206 "
California,"$822,758 ","$783,248 ","$761,250 ","$762,363 ","$749,908 ","$754,135 ","$773,431 ","$767,851 "
"Chickasaw Nation, OK","$174,750 ","$166,358 ","$161,686 ","$161,686 ","$159,044 ","$159,044 ","$159,044 ","$157,897 "
"Choctaw Nation, OK",*,*,*,"$7,953 ","$7,953 ","$12,180 ","$31,476 ","$31,476 "
Colorado,"$14,430 ","$14,430 ",*,*,*,*,*,*
Connecticut,"$89,087 ","$84,809 ","$82,427 ","$82,427 ","$81,080 ","$81,080 ","$81,080 ","$80,495 "
Delaware,*,*,*,*,*,*,"$30,000 ","$30,000 "
District of Columbia,"$157,398 ","$149,839 ","$145,631 ","$145,631 ","$143,252 ","$143,252 ","$143,252 ","$142,219 "
"Five Sandoval Indian Pueblos, NM","$19,240 ","$19,240 ","$19,240 ","$19,240 ","$19,240 ","$19,240 ","$19,240 ","$19,240 "
Florida,"$106,577 ","$101,458 ","$98,608 ","$98,752 ","$97,139 ","$101,366 ","$120,662 ","$119,792 "
Georgia,"$253,987 ","$241,790 ","$234,999 ","$235,342 ","$231,497 ","$235,724 ","$255,020 ","$253,180 "
"Grand Traverse Band of Ottawa &Chippewa Indians, MI","$9,925 ","$9,925 ","$9,925 ","$9,925 ","$9,925 ","$9,925 ","$9,925 ","$9,925 "
Hawaii,"$543,354 ","$517,260 ","$502,732 ","$502,732 ","$494,519 ","$498,746 ","$498,746 ","$495,148 "
Illinois,"$866,300 ","$824,698 ","$801,535 ","$802,706 ","$789,592 ","$793,819 ","$813,115 ","$807,249 "
Indiana,"$61,676 ","$61,676 ","$61,676 ","$61,676 ","$61,676 ","$65,903 ","$85,199 ","$84,584 "
Iowa,"$582,231 ","$554,270 ","$538,703 ","$539,490 ","$530,676 ","$530,676 ","$530,676 ","$526,848 "
Kansas,"$185,153 ","$176,261 ","$171,311 ","$171,561 ","$168,758 ","$172,985 ","$192,281 ","$190,894 "
Kentucky,"$321,418 ","$305,982 ","$297,388 ","$297,823 ","$292,957 ","$297,184 ","$316,480 ","$314,197 "
Louisiana,"$411,357 ","$391,603 ","$380,604 ","$381,160 ","$374,933 ","$379,160 ","$379,160 ","$376,425 "
